Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_FindTreatmentProvider_StandalonSearch,Chrome 66.0.3359.181,,2018-06-03 18:37:42,2018-06-03 18:37:50,7.942s,FAILED
,,,,,,
Test Cases/sublocadePatient,Chrome 66.0.3359.181,,2018-06-03 18:37:42,2018-06-03 18:37:50,7.533s,FAILED
openBrowser,Chrome 66.0.3359.181,,2018-06-03 18:37:43,2018-06-03 18:37:44,1.257s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-06-03 18:37:44,2018-06-03 18:37:45,1.340s,PASSED
click,Chrome 66.0.3359.181,,2018-06-03 18:37:45,2018-06-03 18:37:46,0.212s,PASSED
waitForElementVisible,Chrome 66.0.3359.181,,2018-06-03 18:37:46,2018-06-03 18:37:46,0.652s,PASSED
setText,Chrome 66.0.3359.181,,2018-06-03 18:37:46,2018-06-03 18:37:46,0.141s,PASSED
click,Chrome 66.0.3359.181,,2018-06-03 18:37:46,2018-06-03 18:37:46,0.116s,PASSED
executeJavaScript,Chrome 66.0.3359.181,,2018-06-03 18:37:46,2018-06-03 18:37:47,0.064s,PASSED
click,Chrome 66.0.3359.181,,2018-06-03 18:37:47,2018-06-03 18:37:49,2.111s,PASSED
waitForPageLoad,Chrome 66.0.3359.181,,2018-06-03 18:37:49,2018-06-03 18:37:49,0.063s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-06-03 18:37:49,2018-06-03 18:37:50,1.126s,FAILED
"Statement - out.println(""holaaaaa"")",Chrome 66.0.3359.181,,2018-06-03 18:37:50,2018-06-03 18:37:50,0.006s,PASSED
