Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_FindTreatmentProvider_StandalonSearch,Chrome 66.0.3359.181,,2018-06-04 16:34:11,2018-06-04 16:34:27,16.211s,FAILED
,,,,,,
Test Cases/Main Test Cases/standaloneSearch/sublocadePatient,Chrome 66.0.3359.181,,2018-06-04 16:34:11,2018-06-04 16:34:26,15.184s,FAILED
openBrowser,Chrome 66.0.3359.181,,2018-06-04 16:34:12,2018-06-04 16:34:15,3.560s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-06-04 16:34:15,2018-06-04 16:34:19,4.307s,PASSED
waitForPageLoad,Chrome 66.0.3359.181,,2018-06-04 16:34:19,2018-06-04 16:34:19,0.090s,PASSED
click,Chrome 66.0.3359.181,,2018-06-04 16:34:19,2018-06-04 16:34:20,0.219s,PASSED
waitForElementVisible,Chrome 66.0.3359.181,,2018-06-04 16:34:20,2018-06-04 16:34:20,0.613s,PASSED
setText,Chrome 66.0.3359.181,,2018-06-04 16:34:20,2018-06-04 16:34:21,0.776s,PASSED
click,Chrome 66.0.3359.181,,2018-06-04 16:34:21,2018-06-04 16:34:21,0.190s,PASSED
executeJavaScript,Chrome 66.0.3359.181,,2018-06-04 16:34:21,2018-06-04 16:34:21,0.061s,PASSED
click,Chrome 66.0.3359.181,,2018-06-04 16:34:21,2018-06-04 16:34:25,3.751s,PASSED
waitForPageLoad,Chrome 66.0.3359.181,,2018-06-04 16:34:25,2018-06-04 16:34:25,0.029s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-06-04 16:34:25,2018-06-04 16:34:26,1.320s,FAILED
