Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_FindTreatmentProvider_StandalonSearch,Chrome 66.0.3359.181,,2018-06-03 18:43:07,2018-06-03 18:43:15,8.299s,FAILED
,,,,,,
Test Cases/sublocadePatient,Chrome 66.0.3359.181,,2018-06-03 18:43:08,2018-06-03 18:43:15,7.692s,FAILED
openBrowser,Chrome 66.0.3359.181,,2018-06-03 18:43:08,2018-06-03 18:43:09,0.973s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-06-03 18:43:09,2018-06-03 18:43:10,1.244s,PASSED
click,Chrome 66.0.3359.181,,2018-06-03 18:43:10,2018-06-03 18:43:10,0.132s,PASSED
waitForElementVisible,Chrome 66.0.3359.181,,2018-06-03 18:43:10,2018-06-03 18:43:11,0.615s,PASSED
setText,Chrome 66.0.3359.181,,2018-06-03 18:43:11,2018-06-03 18:43:11,0.130s,PASSED
click,Chrome 66.0.3359.181,,2018-06-03 18:43:11,2018-06-03 18:43:11,0.117s,PASSED
executeJavaScript,Chrome 66.0.3359.181,,2018-06-03 18:43:11,2018-06-03 18:43:11,0.063s,PASSED
click,Chrome 66.0.3359.181,,2018-06-03 18:43:11,2018-06-03 18:43:15,3.960s,PASSED
waitForPageLoad,Chrome 66.0.3359.181,,2018-06-03 18:43:15,2018-06-03 18:43:15,0.039s,PASSED
verifyEqual,Chrome 66.0.3359.181,,2018-06-03 18:43:15,2018-06-03 18:43:15,0.057s,FAILED
