Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_FindTreatmentProvider_StandalonSearch,Chrome 66.0.3359.181,,2018-06-03 16:11:10,2018-06-03 16:11:19,9.008s,FAILED
,,,,,,
Test Cases/sublocadePatient,Chrome 66.0.3359.181,,2018-06-03 16:11:11,2018-06-03 16:11:19,8.542s,FAILED
openBrowser,Chrome 66.0.3359.181,,2018-06-03 16:11:11,2018-06-03 16:11:12,1.543s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-06-03 16:11:12,2018-06-03 16:11:14,1.938s,PASSED
click,Chrome 66.0.3359.181,,2018-06-03 16:11:14,2018-06-03 16:11:14,0.177s,PASSED
waitForElementVisible,Chrome 66.0.3359.181,,2018-06-03 16:11:14,2018-06-03 16:11:15,0.593s,PASSED
setText,Chrome 66.0.3359.181,,2018-06-03 16:11:15,2018-06-03 16:11:15,0.147s,PASSED
click,Chrome 66.0.3359.181,,2018-06-03 16:11:15,2018-06-03 16:11:15,0.121s,PASSED
executeJavaScript,Chrome 66.0.3359.181,,2018-06-03 16:11:15,2018-06-03 16:11:15,0.071s,PASSED
click,Chrome 66.0.3359.181,,2018-06-03 16:11:15,2018-06-03 16:11:19,3.567s,PASSED
waitForPageLoad,Chrome 66.0.3359.181,,2018-06-03 16:11:19,2018-06-03 16:11:19,0.057s,PASSED
"Statement - assert com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowTitle() == ""FPO - treatment-journey fail""",Chrome 66.0.3359.181,,2018-06-03 16:11:19,2018-06-03 16:11:19,0.035s,PASSED
